date,ticker,field,value
2013-09-17,MEXBOL Index,PX_OPEN,41122.47
2013-09-17,MEXBOL Index,PX_LAST,41137.67
2013-09-17,MEXBOL Index,PX_LOW,40799.91
2013-09-17,MEXBOL Index,PX_HIGH,41385.13
2013-09-17,MEXBOL Index,PX_VOLUME,196800900.0
2013-09-18,MEXBOL Index,PX_OPEN,41136.86
2013-09-18,MEXBOL Index,PX_LAST,41902.2
2013-09-18,MEXBOL Index,PX_LOW,40857.84
2013-09-18,MEXBOL Index,PX_HIGH,41987.85
2013-09-18,MEXBOL Index,PX_VOLUME,221126700.0
2013-09-19,MEXBOL Index,PX_OPEN,41903.37
2013-09-19,MEXBOL Index,PX_LAST,41752.26
2013-09-19,MEXBOL Index,PX_LOW,41733.04
2013-09-19,MEXBOL Index,PX_HIGH,42195.12
2013-09-19,MEXBOL Index,PX_VOLUME,272704300.0
2013-09-20,MEXBOL Index,PX_OPEN,41749.42
2013-09-20,MEXBOL Index,PX_LAST,41225.98
2013-09-20,MEXBOL Index,PX_LOW,41224.4
2013-09-20,MEXBOL Index,PX_HIGH,41799.74
2013-09-20,MEXBOL Index,PX_VOLUME,410338400.0
